iter	Passed	Remaining
414	3213	4529
415	3222	4523
416	3229	4515
417	3238	4509
418	3246	4502
419	3255	4495
420	3263	4488
421	3272	4482
422	3280	4474
423	3287	4466
424	3296	4459
425	3303	4451
426	3311	4444
427	3319	4435
428	3327	4428
429	3334	4420
430	3341	4411
431	3348	4402
432	3356	4395
433	3363	4386
434	3371	4378
435	3379	4371
436	3384	4360
437	3392	4352
438	3399	4344
439	3406	4335
440	3414	4327
441	3424	4323
442	3433	4317
443	3440	4308
444	3448	4300
445	3457	4294
446	3465	4286
447	3473	4280
448	3481	4272
449	3489	4265
450	3500	4260
451	3506	4251
452	3516	4246
453	3526	4240
454	3533	4232
455	3540	4223
456	3546	4213
457	3554	4206
458	3561	4198
459	3569	4190
460	3577	4182
461	3584	4174
462	3592	4166
463	3600	4158
464	3607	4150
465	3614	4141
466	3622	4134
467	3629	4125
468	3635	4116
469	3643	4108
470	3650	4099
471	3658	4092
472	3666	4085
473	3675	4078
474	3684	4071
475	3691	4063
476	3698	4055
477	3706	4047
478	3714	4040
479	3722	4032
480	3730	4025
481	3736	4015
482	3744	4008
483	3751	3999
484	3760	3992
485	3766	3983
486	3776	3977
487	3783	3969
488	3790	3960
489	3797	3952
490	3805	3945
491	3812	3936
492	3821	3929
493	3828	3921
494	3835	3912
495	3842	3904
496	3850	3896
497	3857	3888
498	3864	3880
499	3871	3871
500	3879	3863
501	3886	3855
502	3892	3846
503	3901	3840
504	3910	3832
505	3920	3827
506	3929	3821
507	3937	3813
508	3945	3806
509	3953	3798
510	3960	3789
511	3967	3781
512	3973	3772
513	3982	3765
514	3989	3756
515	3995	3747
516	4001	3738
517	4010	3731
518	4018	3723
519	4025	3715
520	4033	3708
521	4039	3699
522	4047	3691
523	4054	3683
524	4062	3675
525	4068	3666
526	4075	3658
527	4083	3650
528	4091	3643
529	4099	3635
530	4107	3627
531	4115	3620
532	4123	3612
533	4129	3603
534	4136	3595
535	4143	3587
536	4150	3578
537	4158	3571
538	4165	3562
539	4173	3555
540	4181	3547
541	4187	3538
542	4194	3530
543	4201	3521
544	4209	3513
545	4217	3506
546	4225	3499
547	4232	3490
548	4239	3482
549	4246	3474
550	4254	3466
551	4261	3458
552	4268	3450
553	4275	3441
554	4282	3433
555	4290	3426
556	4297	3418
557	4304	3409
558	4313	3402
